case,protocol,method,label,commit,status,schedule,iterations,joint_ke,contact_normal_stiffness_scale,relaxation,vbd_alpha,constraints_alpha,constraints_gamma,step_wall_median_ms_across_trajectories,cable_anchor_gap_trajectory_rms_m,contact_penetration_trajectory_rms_m,table_tracking_rms_m,free_branch_symmetry_error_rms_m,final_linear_speed_rms_m_per_s,trajectory_max_linear_speed_m_per_s,rms_closure_um,max_closure_um,min_pelvis_height_m,max_pelvis_tilt_deg,posture_pass
cross_slide_table,focused-default,upstream-main,"Upstream main, local ALM",811b7b1ac803e193f063819d6e5d085cebdcddf6,passed,5 local sweeps,5,,,,,,,7.117214030586183,0.0001088886386047697,2.2068184662059094e-05,0.0011431569436666882,,0.036218763225768134,0.19014662504196167,,,,,
cross_slide_table,focused-default,current-g1,Local–Global VBD,d711ddf377d642ff040ed887df4adebe16707504,passed,5 local + 1 global correction,5,,,,,,,11.817947961390018,0.00010925642850973682,2.2072986445540464e-05,0.001210281000785287,,0.03480968835475219,0.26277947425842285,,,,,
cable_pile,focused-default,upstream-main,"Upstream main, local ALM",811b7b1ac803e193f063819d6e5d085cebdcddf6,passed,5 local sweeps,5,,,,,,,4.8376210033893585,3.3074365533063184e-05,8.65095590912628e-05,,,0.0017298345807101583,2.7785985469818115,,,,,
cable_pile,focused-default,current-g1,Local–Global VBD,d711ddf377d642ff040ed887df4adebe16707504,passed,5 local + 1 global correction,5,,,,,,,5.885588936507702,1.3395521674336768e-05,3.9467639787746226e-05,,,0.000861226929030959,3.1464684009552,,,,,
y_junction_k1e9,focused-default,upstream-main,"Upstream main, local ALM",811b7b1ac803e193f063819d6e5d085cebdcddf6,passed,5 local sweeps,5,,,,,,,2.761575044132769,0.00022239662891892194,0.011070716107266527,,0.11967378854751587,0.9283522856558738,8.07922649383545,,,,,
y_junction_k1e9,focused-default,current-g1,Local–Global VBD,d711ddf377d642ff040ed887df4adebe16707504,passed,5 local + 1 global correction,5,,,,,,,3.517413977533579,6.832019695047507e-08,,,0.0,0.0030836839751667592,0.03916551172733307,,,,,
slinky,focused-default,upstream-main,"Upstream main, local ALM",811b7b1ac803e193f063819d6e5d085cebdcddf6,passed,5 local sweeps,5,,,,,,,11.18059502914548,0.0001250210960239503,9.994067491491467e-06,,,0.003612770873198101,10.576988220214844,,,,,
slinky,focused-default,current-g1,Local–Global VBD,d711ddf377d642ff040ed887df4adebe16707504,passed,5 local + 1 global correction,5,,,,,,,13.780731940642,3.109641544060647e-05,1.3518025994748216e-06,,,0.005807941105769341,7.777248382568359,,,,,
dr_legs_free_ankle,tuned,upstream-main,"Upstream main, local ALM",811b7b1ac803e193f063819d6e5d085cebdcddf6,passed,16 local sweeps,16,200000.0,8.0,0.65,0.0,,,1.3998700305819511,,,,,,,1183.1685126202276,3041.60222950733,0.03021274507045746,81.53792338864352,True
dr_legs_free_ankle,tuned,current-g1,Local–Global VBD,d711ddf377d642ff040ed887df4adebe16707504,passed,G1 after local sweep 1 + 1 local reconcile sweep,1,200000.0,4.0,0.65,0.0,,,0.625980959739536,,,,,,,187.34285073444735,353.7354393437981,0.04251730442047119,90.02442977669689,True
dr_legs_free_ankle,fixed-vbd-i8,upstream-main,"Upstream main, local ALM",811b7b1ac803e193f063819d6e5d085cebdcddf6,passed,8 local sweeps,8,200000.0,4.0,0.65,0.0,,,0.792709004599601,,,,,,,2134.0904494234746,5261.462842874045,0.03634537011384964,132.11839539083465,False
dr_legs_free_ankle,fixed-vbd-i8,current-g1,Local–Global VBD,d711ddf377d642ff040ed887df4adebe16707504,passed,8 local sweeps; G1 after sweep 1,8,200000.0,4.0,0.65,0.0,,,1.1460009845905006,,,,,,,182.02061422440497,265.8122554718825,0.04217185452580452,90.14155668911094,True
